timestamp,gpu_util%,vram_used_mb,vram_total_mb,ram_used_gb,ram_total_gb
22:43:11,16,12,4096,4.6,15.2
22:45:11,0,12,4096,4.5,15.2
22:47:11,0,12,4096,4.6,15.2
22:49:11,77,2256,4096,7.0,15.2
22:51:11,79,2256,4096,7.1,15.2
22:53:11,77,2256,4096,7.1,15.2
22:55:11,46,2256,4096,7.1,15.2
22:57:11,97,2272,4096,7.7,15.2
22:59:11,46,2274,4096,7.6,15.2
23:01:11,58,2274,4096,7.7,15.2
23:03:11,57,2274,4096,7.7,15.2
23:05:11,57,2274,4096,7.7,15.2
23:07:11,0,2236,4096,6.6,15.2
23:09:11,56,2278,4096,8.0,15.2
23:11:11,74,2278,4096,8.0,15.2
23:13:11,73,2278,4096,8.0,15.2
23:15:11,72,2278,4096,8.0,15.2
23:17:11,69,2278,4096,8.0,15.2
23:19:11,72,2278,4096,8.0,15.2
23:21:11,73,2278,4096,8.3,15.2
23:23:11,59,2278,4096,8.2,15.2
23:25:11,71,2278,4096,8.3,15.2
23:27:11,76,2280,4096,8.1,15.2
23:29:11,77,2280,4096,8.0,15.2
23:31:11,59,2280,4096,8.0,15.2
23:33:11,74,2280,4096,8.0,15.2
23:35:11,76,2280,4096,8.0,15.2
23:37:11,75,2280,4096,8.0,15.2
23:39:11,77,2280,4096,8.0,15.2
23:41:12,74,2280,4096,8.1,15.2
23:43:12,81,2280,4096,8.1,15.2
23:45:12,75,2280,4096,8.0,15.2
23:47:12,76,2280,4096,8.1,15.2
23:49:12,63,2306,4096,9.7,15.2
23:51:12,0,2338,4096,10.4,15.2
23:53:12,66,2338,4096,10.5,15.2
23:55:12,59,2338,4096,10.5,15.2
23:57:12,68,2338,4096,10.5,15.2
23:59:12,67,2338,4096,10.5,15.2
00:01:12,60,2338,4096,10.5,15.2
00:03:12,63,2338,4096,10.5,15.2
00:05:12,66,2338,4096,10.5,15.2
00:07:12,62,2338,4096,10.6,15.2
00:09:12,67,2338,4096,10.6,15.2
00:11:12,59,2338,4096,10.5,15.2
00:13:12,66,2338,4096,10.5,15.2
