Model,Test Acc (%),Test Loss,F1-Score,Params (M),FLOPs (M)
ResNet50,97.62,0.0854,0.976,23.9,620.7
DenseNet121,95.71,0.1775,0.955,7.19,453.0
DenseNet169,97.77,0.0854,0.977,12.9,539.7
EfficientNetB0,97.38,0.1205,0.974,4.25,65.8
EfficientNetB5,94.2,0.2238,0.941,28.83,402.3
MobileNetV2,96.98,0.1282,0.97,2.46,49.3
MobileNetV3Small,96.18,0.1603,0.961,1.03,9.9
LeNet-5,93.72,0.2457,0.937,2.48,72.0
MobileNetV3Large,97.14,0.1181,0.971,3.15,38.7
NASNetMobile,97.62,0.1322,0.976,4.43,92.7
UltraTamNet,98.01,0.0938,0.98,1.28,167.1
