Model,Augmentation Multiple,Train Acc (%),Test Acc (%),Test Loss,Precision (%),Recall (%),F1-Score (%)
ResNet50,x4,94.21,92.21,0.24,92.24,92.61,92.42
ResNet50,x6,96.67,94.81,0.17,94.10,94.94,94.52
ResNet50,x8,97.73,95.42,0.12,95.80,95.64,95.72
ResNet50,x10,98.24,96.80,0.09,96.50,96.80,96.65
MobileNetV2,x4,96.32,92.49,0.30,94.50,91.98,93.22
MobileNetV2,x6,98.64,98.75,0.05,98.78,98.76,98.77
MobileNetV2,x8,99.55,98.98,0.03,98.70,98.70,98.70
MobileNetV2,x10,99.41,99.19,0.02,99.23,99.04,99.11
DenseNet121,x4,98.63,98.31,0.24,98.20,98.30,98.25
DenseNet121,x6,99.06,98.78,0.19,99.10,99.17,99.13
DenseNet121,x8,99.40,99.14,0.11,99.10,99.17,99.13
DenseNet121,x10,99.69,99.27,0.06,99.31,99.29,99.30
DenseNet169,x4,98.59,97.34,0.17,97.90,98.17,98.03
DenseNet169,x6,99.27,98.75,0.09,99.13,98.90,99.01
DenseNet169,x8,99.30,99.22,0.02,99.20,99.40,99.30
DenseNet169,x10,99.40,99.35,0.01,99.40,99.50,99.45
UltraTamNet (Ours),no augmentation,95.20,89.02,0.40,90.49,88.41,89.44
UltraTamNet (Ours),x4,99.10,98.60,0.10,98.40,98.46,98.43
UltraTamNet (Ours),x6,99.60,99.21,0.03,99.60,99.71,99.65
UltraTamNet (Ours),x8,99.50,99.37,0.02,99.35,99.36,99.35
UltraTamNet (Ours),x10,99.87,99.81,0.01,99.77,99.60,99.68
