epoch,train_acc,train_loss,val_acc,val_loss
1,0.6111,1.6375,0.4667,3.1345
2,0.9036,0.3299,0.8391,0.6405
3,0.9279,0.2369,0.5134,3.1224
4,0.9383,0.2084,0.9335,0.2366
5,0.9483,0.1697,0.8104,1.0004
6,0.9565,0.1416,0.9194,0.2878
7,0.9595,0.1292,0.8196,0.7277
8,0.9594,0.1266,0.9614,0.1365
9,0.9659,0.1113,0.6067,2.4198
10,0.9696,0.0981,0.9489,0.2066
11,0.969,0.0972,0.9688,0.1134
12,0.9724,0.0901,0.9717,0.0943
13,0.9745,0.0792,0.9677,0.1229
14,0.9743,0.0817,0.9746,0.0944
15,0.9788,0.067,0.9754,0.091
16,0.9794,0.0647,0.9637,0.1273
17,0.979,0.0623,0.9723,0.096
18,0.9804,0.0606,0.9742,0.1039
19,0.981,0.0603,0.9779,0.0878
20,0.981,0.0598,0.9781,0.0868
21,0.9828,0.052,0.9723,0.0986
22,0.9816,0.0572,0.9735,0.1047
23,0.9832,0.0506,0.9765,0.093
24,0.9843,0.0463,0.9769,0.0938
25,0.9851,0.0447,0.9536,0.1889
