epoch,train_acc,train_loss,val_acc,val_loss
1,0.0612,4.5647,0.5025,2.9177
2,0.5184,1.6541,0.2534,4.0833
3,0.6459,1.2326,0.7736,0.8559
4,0.7024,1.0275,0.2738,3.9891
5,0.7663,0.7989,0.8587,0.4879
6,0.7198,0.9878,0.8151,0.6645
7,0.7313,0.9039,0.897,0.3535
8,0.8082,0.6315,0.9052,0.3005
9,0.8104,0.6232,0.889,0.372
10,0.8444,0.4977,0.9075,0.3249
11,0.845,0.5039,0.799,0.7244
12,0.8213,0.5942,0.9167,0.3376
13,0.8456,0.502,0.9382,0.1984
14,0.8898,0.3467,0.8672,0.4346
15,0.8899,0.3524,0.8839,0.5189
16,0.8783,0.392,0.9211,0.2581
17,0.9,0.3175,0.9436,0.1888
18,0.911,0.2883,0.9411,0.2266
19,0.907,0.2931,0.953,0.1574
20,0.9201,0.2541,0.957,0.1426
21,0.926,0.2301,0.9022,1.9167
22,0.9244,0.23,0.9578,0.1465
23,0.9333,0.2153,0.9595,0.1361
24,0.933,0.2123,0.9647,0.1194
25,0.9405,0.1894,0.9623,0.1284
26,0.9298,0.2204,0.9684,0.1115
27,0.9433,0.1735,0.9599,0.1375
28,0.9452,0.1737,0.9592,0.1487
29,0.9542,0.1438,0.9604,0.1434
30,0.9533,0.1473,0.9605,0.165
31,0.9514,0.1513,0.9693,0.1065
32,0.9566,0.1361,0.952,0.297
33,0.9591,0.1259,0.9613,0.1827
34,0.9603,0.1256,0.9552,0.3058
35,0.9605,0.1239,0.9653,0.1762
