epoch,train_acc,train_loss,val_acc,val_loss
1,0.0609,5.4821,0.711,0.9969
2,0.6411,1.2551,0.7147,0.9851
3,0.7809,0.7363,0.7248,0.9522
4,0.8319,0.5554,0.7404,0.9022
5,0.8458,0.5163,0.7601,0.8387
6,0.8518,0.4948,0.7827,0.7657
7,0.8652,0.4435,0.8071,0.6869
8,0.8721,0.4191,0.8322,0.6062
9,0.876,0.4093,0.8566,0.5274
10,0.8844,0.3717,0.8792,0.4544
11,0.8919,0.3535,0.8989,0.3909
12,0.8951,0.3539,0.9145,0.3409
13,0.898,0.3375,0.9246,0.308
14,0.899,0.3266,0.9283,0.2962
15,0.9012,0.3314,0.9281,0.2965
16,0.903,0.3178,0.9275,0.2971
17,0.9055,0.3127,0.9269,0.2978
18,0.9062,0.3103,0.9263,0.2984
19,0.9095,0.3024,0.9261,0.2987
