epoch,train_acc,train_loss,val_acc,val_loss
1,0.2631,3.2339,0.0065,6.5504
2,0.7743,0.7482,0.0095,6.0469
3,0.8538,0.4855,0.2724,3.5029
4,0.8873,0.3721,0.7503,1.6615
5,0.9009,0.3216,0.8518,0.8598
6,0.9162,0.2755,0.7767,1.6537
7,0.9256,0.2437,0.8012,1.2882
8,0.9298,0.2252,0.842,0.8205
9,0.938,0.2023,0.922,0.3704
10,0.943,0.1827,0.9372,0.2727
11,0.9487,0.1696,0.7221,1.816
12,0.9481,0.1679,0.9349,0.2766
13,0.9503,0.1617,0.9214,0.3202
14,0.952,0.1524,0.9535,0.1748
15,0.9565,0.1368,0.9446,0.2173
16,0.9596,0.1301,0.1607,8.314
17,0.9611,0.1231,0.7178,1.6166
18,0.9593,0.1268,0.9496,0.1913
19,0.9603,0.1236,0.9586,0.1704
20,0.964,0.1141,0.942,0.2391
21,0.9663,0.1073,0.9597,0.153
22,0.9663,0.1054,0.9526,0.1876
23,0.9678,0.1017,0.9569,0.1725
24,0.9669,0.1068,0.9622,0.1384
25,0.9691,0.0942,0.9659,0.1347
26,0.9706,0.094,0.9686,0.1307
27,0.9705,0.0922,0.9647,0.1485
28,0.9702,0.0923,0.9714,0.1126
29,0.9732,0.0829,0.9662,0.1333
30,0.9707,0.0895,0.9589,0.1563
31,0.972,0.0845,0.9681,0.1227
32,0.9735,0.0835,0.9582,0.1503
33,0.9741,0.0809,0.9665,0.1307
