epoch,train_acc,train_loss,val_acc,val_loss
1,0.378,2.6088,0.0064,5.1796
2,0.835,0.5429,0.0174,6.331
3,0.888,0.3634,0.8081,0.672
4,0.912,0.2836,0.8925,0.4212
5,0.9248,0.2453,0.8959,0.4205
6,0.9357,0.2085,0.9278,0.3167
7,0.9373,0.2024,0.9369,0.2508
8,0.945,0.1797,0.936,0.2549
9,0.9503,0.1622,0.9539,0.1792
10,0.953,0.1504,0.9243,0.2823
11,0.955,0.1441,0.9564,0.1683
12,0.9572,0.1388,0.9541,0.171
13,0.9592,0.1279,0.9381,0.27
14,0.9631,0.1184,0.9518,0.1778
15,0.9618,0.1204,0.9553,0.1631
16,0.9644,0.1119,0.8803,0.4797
