epoch,train_acc,train_loss,val_acc,val_loss
1,0.3535,2.7232,0.0064,5.0916
2,0.7879,0.6756,0.0141,5.0519
3,0.8522,0.4787,0.0361,4.9386
4,0.8766,0.3892,0.0706,4.7604
5,0.895,0.3316,0.1161,4.526
6,0.9089,0.2872,0.1709,4.2439
7,0.9178,0.2602,0.2331,3.9228
8,0.928,0.23,0.3013,3.5715
9,0.93,0.2235,0.3737,3.1984
10,0.9364,0.2007,0.4485,2.8125
11,0.9379,0.1933,0.5243,2.4221
12,0.9404,0.1836,0.5991,2.0362
13,0.9428,0.176,0.6715,1.6631
14,0.9454,0.171,0.7397,1.3118
15,0.9493,0.1595,0.8019,0.9907
16,0.9524,0.1526,0.8567,0.7086
17,0.9522,0.1541,0.9022,0.4742
18,0.9566,0.1347,0.9367,0.296
19,0.9575,0.1325,0.9587,0.1827
20,0.9577,0.1306,0.9664,0.143
21,0.9577,0.1279,0.965,0.144
22,0.9602,0.1228,0.9616,0.1464
23,0.9614,0.1167,0.9575,0.1493
24,0.9624,0.1175,0.9541,0.1517
25,0.9623,0.1155,0.9527,0.1527
