epoch,train_acc,train_loss,val_acc,val_loss
1,0.3283,2.8246,0.1843,3.9821
2,0.791,0.6685,0.1941,3.9335
3,0.864,0.4294,0.2218,3.7967
4,0.8988,0.3256,0.2647,3.5852
5,0.9149,0.2755,0.3198,3.3127
6,0.9241,0.2436,0.3846,2.9927
7,0.9318,0.2158,0.4563,2.6388
8,0.9407,0.1928,0.532,2.2645
9,0.9458,0.1773,0.6092,1.8835
10,0.9489,0.1624,0.6849,1.5092
11,0.9557,0.1439,0.7566,1.1553
12,0.9557,0.1408,0.8214,0.8353
13,0.9597,0.1291,0.8765,0.5628
14,0.9595,0.1269,0.9194,0.3513
15,0.9617,0.1203,0.9471,0.2145
16,0.9653,0.1125,0.9569,0.1659
17,0.9637,0.113,0.9548,0.18
18,0.9661,0.1058,0.9497,0.2135
19,0.9661,0.1034,0.9437,0.2535
20,0.9675,0.1042,0.9386,0.287
21,0.9681,0.0964,0.9365,0.3011
