epoch,train_acc,train_loss,val_acc,val_loss
1,0.3811,3.0805,0.7668,0.9853
2,0.8447,0.5386,0.8555,0.5333
3,0.8985,0.3474,0.9109,0.3207
4,0.9165,0.2776,0.9096,0.3215
5,0.9249,0.2518,0.9256,0.2614
6,0.9356,0.2112,0.9366,0.2214
7,0.9433,0.1874,0.9442,0.1798
8,0.9455,0.1725,0.9396,0.2291
9,0.9518,0.1516,0.966,0.1233
10,0.9587,0.1345,0.9655,0.1203
11,0.9605,0.1235,0.9591,0.1398
12,0.9608,0.1204,0.9607,0.1481
13,0.9649,0.1128,0.9601,0.1458
14,0.9677,0.1,0.9732,0.0958
15,0.9699,0.0958,0.9681,0.114
16,0.9704,0.0921,0.9755,0.0927
17,0.9747,0.0829,0.9712,0.1037
18,0.9724,0.0869,0.9707,0.0995
19,0.9746,0.0835,0.9738,0.099
20,0.9741,0.08,0.978,0.0846
21,0.9771,0.0728,0.967,0.1044
22,0.9767,0.0757,0.9625,0.1392
23,0.9769,0.07,0.9753,0.1054
24,0.977,0.072,0.9788,0.0814
25,0.9786,0.0634,0.9765,0.0933
26,0.9801,0.061,0.9421,0.2368
27,0.9776,0.0681,0.9769,0.0845
28,0.981,0.0558,0.9776,0.0918
29,0.9805,0.0572,0.9807,0.0848
30,0.9816,0.0602,0.9775,0.0886
31,0.9832,0.0506,0.9746,0.0978
32,0.9825,0.0517,0.9753,0.0943
33,0.9834,0.0527,0.9716,0.1075
34,0.9846,0.0465,0.9799,0.09
