epoch,train_acc,train_loss,val_acc,val_loss
1,0.8352,0.6346,0.703,1.1689
2,0.946,0.1837,0.8902,0.3957
3,0.9583,0.1382,0.9046,0.3933
4,0.9666,0.1126,0.1895,7.2498
5,0.9724,0.0924,0.6516,1.5111
6,0.9761,0.0783,0.959,0.1474
7,0.9773,0.0722,0.97,0.1022
8,0.9811,0.059,0.9349,0.24
9,0.9828,0.0558,0.9236,0.2662
10,0.9841,0.0491,0.9678,0.1282
11,0.9941,0.019,0.9775,0.0896
12,0.9951,0.0156,0.9736,0.1161
13,0.9952,0.015,0.9765,0.1002
14,0.9959,0.0134,0.9787,0.0918
15,0.9965,0.0111,0.9636,0.1582
16,0.9962,0.0124,0.9757,0.1107
17,0.9971,0.0095,0.9801,0.0961
18,0.9976,0.0081,0.9762,0.1139
19,0.9966,0.0114,0.9757,0.1225
20,0.9972,0.0085,0.9656,0.1525
21,0.9991,0.0034,0.9811,0.0899
22,0.9995,0.0019,0.9826,0.0861
23,0.9994,0.0022,0.9812,0.0981
24,0.9996,0.002,0.9823,0.0985
