epoch,train_acc,train_loss,val_acc,val_loss,note
1,0.308786,1.889254,0.092784,21.114542,
2,0.643411,0.981198,0.108247,8.473943,
3,0.792636,0.552715,0.195876,5.616404,
4,0.849483,0.417923,0.092784,23.379749,
5,0.865633,0.402353,0.152062,9.164469,
6,0.904393,0.241844,0.582474,1.530343,
7,0.929587,0.226214,0.427835,5.193896,
8,0.925065,0.21509,0.286082,5.753493,
9,0.914083,0.247345,0.324742,7.62927,
10,0.9677,0.101156,0.53866,2.461248,
11,0.971576,0.075921,0.835052,0.665962,
12,0.981266,0.063366,0.871134,0.395902,
13,0.969638,0.080592,0.724227,1.059179,
14,0.978682,0.065821,0.319588,6.805873,
15,0.986434,0.047602,0.814433,0.646502,
16,0.987726,0.038973,0.981959,0.048291,
17,0.989664,0.031723,0.917526,0.242864,
18,0.99354,0.0215,0.987113,0.039161,
19,0.994832,0.019897,0.997423,0.023254,
20,0.992248,0.028189,0.943299,0.174844,
