epoch,train_acc,train_loss,val_acc,val_loss,note
1,0.147287,3.348617,0.092784,11.542975,
2,0.233204,2.391492,0.064433,4.717461,
3,0.338501,1.913754,0.069588,5.924084,
4,0.45155,1.516178,0.21134,4.155684,
5,0.512274,1.360136,0.358247,3.046105,
6,0.574935,1.202137,0.206186,5.112304,
7,0.607881,1.198227,0.368557,4.662934,
8,0.69186,0.883886,0.564433,1.851312,
9,0.770026,0.646462,0.469072,3.782805,
10,0.791344,0.587966,0.417526,4.004731,
11,0.834625,0.50666,0.595361,2.086549,
12,0.906331,0.270624,0.724227,1.171159,
13,0.920543,0.252564,0.634021,1.424705,
14,0.914729,0.25009,0.634021,1.904737,
15,0.925711,0.237961,0.809278,0.590317,
16,0.919251,0.232778,0.703608,0.93377,
17,0.936693,0.173734,0.760309,0.789496,
18,0.932171,0.200597,0.716495,1.490321,
19,0.950258,0.154977,0.902062,0.285855,
20,0.97093,0.084523,0.943299,0.142051,
