epoch,train_acc,train_loss,val_acc,val_loss,note
1,0.518889,1.318336,0.095484,2.501024,
2,0.826284,0.463447,0.095484,2.731338,
3,0.894737,0.300219,0.095484,3.550878,
4,0.912819,0.241398,0.095484,5.210683,
5,0.954795,0.129165,0.099355,3.745668,
6,0.969648,0.093275,0.59871,1.332137,
7,0.964482,0.095588,0.476129,2.761422,
8,0.976106,0.068483,0.892903,0.338583,
9,0.975783,0.070145,0.597419,1.852777,
10,0.97546,0.068798,0.291613,6.510773,
11,0.982887,0.054576,0.929032,0.205319,
12,0.979335,0.061403,0.486452,3.132494,
13,0.976429,0.064914,0.940645,0.146259,
14,0.980626,0.055077,0.83871,0.455681,
15,0.979658,0.052983,0.729032,0.980507,
16,0.984178,0.047215,0.64129,1.982248,
17,0.992896,0.024826,0.967742,0.079372,
18,0.992896,0.025074,0.922581,0.250099,
19,0.996125,0.016131,0.993548,0.021058,
20,0.994511,0.014738,0.923871,0.255884,
